round_epochs,val_acc,val_loss,loss,acc,activation,optimizer,batch_size,last_activation,hidden_layers,first_neuron,dropout
15,0.4638666666825612,1.536595608965556,1.4017493883405412,0.5026571428435189,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,64,softmax,2,128,0
21,0.46493333331743875,1.5336293427785237,1.6137927185058594,0.4230285714149475,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,128,softmax,0,128,0.5
18,0.4623333332379659,1.526117983563741,1.5696764764785767,0.4421714285986764,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,256,softmax,2,512,0.5
14,0.3762666666507721,1.7982477380752564,1.9019167463302613,0.29568571427890233,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,64,softmax,1,512,0.5
15,0.44033333333333335,1.6055848620732625,1.5206500199181694,0.45642857144219534,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,64,softmax,1,128,0
15,0.362399999888738,1.7956361958821614,1.9121955454690116,0.28831428565979006,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,256,softmax,0,128,0.4
8,0.3489999999841054,1.8363332264582317,1.9654185754231044,0.26782857140813554,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,64,softmax,2,256,0.5
13,0.4552000000317891,1.524764664141337,1.4966075068337577,0.4654285714217595,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,64,softmax,2,128,0.1
17,0.45240000003178915,1.5545433799743653,1.6112996261324202,0.42462857142175947,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,64,softmax,0,256,0.4
29,0.45926666666666666,1.5345625580469768,1.5100229038511004,0.4648285714217595,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,128,softmax,1,512,0.2
17,0.4502666665712992,1.5719922321955362,1.5758111186163766,0.44165714287757873,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,256,softmax,2,512,0.2
10,0.4383333333651225,1.6380931330998738,1.5766266114643641,0.4392571428503309,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,64,softmax,1,512,0.1
26,0.48919999996821084,1.4492145294189454,1.4102955362319947,0.49834285714285714,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,128,softmax,2,128,0.2
17,0.47306666668256125,1.5689062983194988,1.3930115599768502,0.510428571346828,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,256,softmax,2,512,0
16,0.4831333333651225,1.582126222038269,1.3119571953909737,0.5340857143129621,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,64,softmax,1,512,0
28,0.4882666665236155,1.453466276359558,1.4480367263248988,0.4895714285986764,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,256,softmax,0,128,0.3
12,0.4403333334604899,1.5799343054453532,1.6372136883599417,0.42168571429252627,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,256,softmax,1,256,0.5
9,0.4083999999841054,1.673372790781657,1.6163446017946517,0.42625714285714283,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,128,softmax,0,128,0
21,0.4770666666666667,1.5058805466334024,1.4161686874934605,0.49714285714285716,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,64,softmax,2,128,0.1
10,0.4560000000158946,1.612608578300476,1.5643452409471785,0.43959999999318805,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,64,softmax,1,512,0.2
15,0.388199999888738,1.7227681788126628,1.8185321662902831,0.3380857143538339,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,256,softmax,1,256,0.4
9,0.3734666666507721,1.7629624586105346,1.880547221810477,0.30994285712923325,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,64,softmax,2,512,0.4
33,0.5019333334445953,1.4233968897501628,1.4095365113939557,0.5004571428298951,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,256,softmax,2,128,0.3
22,0.4927333334287008,1.451998934809367,1.3486820979527065,0.5221714285169329,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,256,softmax,1,256,0.1
28,0.4997999999523163,1.4212812888463338,1.392920747893197,0.5083142856325422,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,256,softmax,1,128,0.2
17,0.4706666666666667,1.5413164580663046,1.5308940930775234,0.45459999998637607,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,64,softmax,0,512,0.3
27,0.4972000000158946,1.4855921415328979,1.1918775049209596,0.5754571428162711,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,128,softmax,0,256,0
12,0.46553333330154417,1.5101467387517293,1.4646015548433575,0.47948571427890235,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,128,softmax,0,512,0.1
16,0.4754666668574015,1.5029150608062745,1.3517647337232317,0.5246571428639548,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,256,softmax,2,256,0
9,0.3805333333492279,1.744744130007426,1.7552040670939855,0.3640571428503309,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,64,softmax,1,128,0.1
9,0.4389333333492279,1.5886713698705037,1.6081681868689401,0.43045714278902325,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,256,softmax,1,512,0.3
23,0.4701333333651225,1.530900833829244,1.5515109943934848,0.4431428571360452,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,64,softmax,1,256,0.4
22,0.47733333344459533,1.5153308170954387,1.352046672466823,0.52348571434021,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,256,softmax,2,512,0
10,0.3325333333492279,1.881659908103943,2.0019853044782367,0.23659999998978207,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,64,softmax,0,256,0.5
20,0.46886666666666665,1.596749485842387,1.3677258318492345,0.512142857163293,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,64,softmax,1,128,0
14,0.4101333333174388,1.6473361221949259,1.7037239480154855,0.3856285714149475,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,64,softmax,0,256,0.2
10,0.46053333333333335,1.5226267990112305,1.4329579393114362,0.48977142855780464,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,128,softmax,2,256,0
10,0.4406666666825612,1.6182433389663697,1.6155319502966745,0.42151428570747373,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,64,softmax,2,512,0.3
18,0.486,1.5208172554651895,1.3980639539173672,0.5018857142584664,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,128,softmax,2,512,0.2
37,0.517466666730245,1.4221954107284547,1.2333815276554652,0.5611142857687814,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,256,softmax,2,512,0.2
17,0.4885333333333333,1.5588005416870117,1.3074959489822389,0.5349142857551574,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,64,softmax,0,512,0
10,0.43173333333333336,1.5995062916437786,1.622658455467224,0.422799999993188,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,64,softmax,1,256,0.1
6,0.2786666666507721,2.056973172187805,2.10746775529044,0.2055428571496691,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,128,softmax,0,128,0.5
9,0.4560666666666667,1.5474908608118694,1.4596117752620152,0.4804285714217595,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,64,softmax,2,256,0
22,0.42306666668256127,1.6491393351236978,1.718478832108634,0.3828857142993382,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,128,softmax,2,256,0.3
16,0.42260000007947285,1.6489015312194824,1.7172292761666434,0.38622857138769967,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,256,softmax,1,512,0.4
17,0.47946666677792865,1.4812994328180948,1.418701925604684,0.4984857143061502,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,256,softmax,2,256,0.1
19,0.44253333336512246,1.5834553745905557,1.6792239612306867,0.3988857142857143,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,64,softmax,0,128,0.5
8,0.3439333333333333,1.8697068687438965,1.9151553622654507,0.2923142857210977,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,64,softmax,1,256,0.4
23,0.4821333333651225,1.4736515248616537,1.5144701242446899,0.45705714287076676,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,128,softmax,1,512,0.4
21,0.4693999999841054,1.5047435599009196,1.5364986180714197,0.4547142857210977,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,128,softmax,2,256,0.4
16,0.4628666666348775,1.522814113108317,1.54361047101702,0.452028571496691,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,256,softmax,1,128,0.3
12,0.43946666666666667,1.5756827311833699,1.6437610331126622,0.40960000000681196,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,64,softmax,1,512,0.4
15,0.48006666668256126,1.5107043070475261,1.3999357379095896,0.5013428571632931,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,128,softmax,2,512,0.1
21,0.4435333333492279,1.5827874873479206,1.4709786281858173,0.482857142836707,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,128,softmax,2,128,0
30,0.4700666667779287,1.5058464756011962,1.559734556552342,0.44637142863954815,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,256,softmax,1,128,0.5
11,0.38933333342870075,1.7402704124450683,1.8284568804604666,0.3345714285169329,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,256,softmax,0,256,0.4
24,0.5025333333651225,1.4538954805374145,1.167624385534014,0.5859714285714286,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,128,softmax,1,512,0
15,0.36906666666666665,1.7657001012802125,1.8577974335261753,0.3154857142993382,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,64,softmax,1,128,0.3
16,0.44620000001589455,1.5623041111628215,1.643909717805045,0.4078571428435189,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,64,softmax,0,128,0.4
15,0.3609333331902822,1.797627408281962,1.8981026097433908,0.2980857142107827,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,256,softmax,1,128,0.3
38,0.4957333330790202,1.4419462162653605,1.400566242980957,0.5024571427890233,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,256,softmax,2,128,0.3
25,0.48146666666666665,1.4792815408706665,1.4711192222322735,0.4784285714694432,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,128,softmax,2,128,0.3
15,0.441,1.5949408637364706,1.6577735101154871,0.4074571428980146,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,128,softmax,1,128,0.5
